source,target,country,meaning,source_word
She bought milk at the grocery store.,She bought milk at the supermarket.,British,A place where food and other products are sold,grocery store
The grocery store is open 24 hours.,The supermarket is open 24 hours.,British,A place where food and other products are sold,grocery store
grocery store,the shops,Australia,A place where food and other products are sold,grocery store
I need to go to the grocery store.,I need to go to the shops.,Australia,A place where food and other products are sold,grocery store
She bought food from the grocery store.,She bought food from the shops.,Australia,A place where food and other products are sold,grocery store
The grocery store is closed today.,The shops are closed today.,Australia,A place where food and other products are sold,grocery store
He works at the grocery store.,He works at the shops.,Australia,A place where food and other products are sold,grocery store
alcohol store,off license,British,A store that sells alcoholic beverages,alcohol store
You can buy wine at the alcohol store.,You can buy wine at the off license.,British,A store that sells alcoholic beverages,alcohol store
They have a great selection at the alcohol store.,They have a great selection at the off license.,British,A store that sells alcoholic beverages,alcohol store
The alcohol store closes at 10 PM.,The off license closes at 10 PM.,British,A store that sells alcoholic beverages,alcohol store
She works at the alcohol store in town.,She works at the off license in town.,British,A store that sells alcoholic beverages,alcohol store
pants,trousers,British,A piece of clothing for the lower body,pants
I need new pants for work.,I need new trousers for work.,British,A piece of clothing for the lower body,pants
She wore her favorite pants today.,She wore her favorite trousers today.,British,A piece of clothing for the lower body,pants
His pants were too tight.,His trousers were too tight.,British,A piece of clothing for the lower body,pants
I can't find my pants.,I can't find my trousers.,British,A piece of clothing for the lower body,pants
sidewalk,footpath,Australia,A path for pedestrians beside a road,sidewalk
We walked down the sidewalk to the store.,We walked down the footpath to the store.,Australia,A path for pedestrians beside a road,sidewalk
The sidewalk was crowded with people.,The footpath was crowded with people.,Australia,A path for pedestrians beside a road,sidewalk
She tripped on the sidewalk.,She tripped on the footpath.,Australia,A path for pedestrians beside a road,sidewalk
There are benches along the sidewalk.,There are benches along the footpath.,Australia,A path for pedestrians beside a road,sidewalk
sidewalk,pavement,British,A path for pedestrians beside a road,sidewalk
The sidewalk is in poor condition.,The pavement is in poor condition.,British,A path for pedestrians beside a road,sidewalk
He walked on the sidewalk all the way home.,He walked on the pavement all the way home.,British,A path for pedestrians beside a road,sidewalk
The sidewalk is very wide here.,The pavement is very wide here.,British,A path for pedestrians beside a road,sidewalk
Children are playing on the sidewalk.,Children are playing on the pavement.,British,A path for pedestrians beside a road,sidewalk
highway,motorway,British,"A main road, typically for fast traffic",highway
The highway was congested during rush hour.,The motorway was congested during rush hour.,British,"A main road, typically for fast traffic",highway
We drove down the highway for hours.,We drove down the motorway for hours.,British,"A main road, typically for fast traffic",highway
The highway has a speed limit of 60 mph.,The motorway has a speed limit of 60 mph.,British,"A main road, typically for fast traffic",highway
He is traveling on the highway today.,He is traveling on the motorway today.,British,"A main road, typically for fast traffic",highway
vacation,holiday,British,A period of time spent away from work for rest or travel,vacation
We are going on vacation next month.,We are going on holiday next month.,British,A period of time spent away from work for rest or travel,vacation
I can't wait for my vacation.,I can't wait for my holiday.,British,A period of time spent away from work for rest or travel,vacation
They spent their vacation in Spain.,They spent their holiday in Spain.,British,A period of time spent away from work for rest or travel,vacation
She is on vacation this week.,She is on holiday this week.,British,A period of time spent away from work for rest or travel,vacation
diaper,nappy,British,"A soft, absorbent garment worn by babies",diaper
I need to buy more diapers.,I need to buy more nappies.,British,"A soft, absorbent garment worn by babies",diaper
She changed the baby's diaper.,She changed the baby's nappy.,British,"A soft, absorbent garment worn by babies",diaper
He wears a diaper during the night.,He wears a nappy during the night.,British,"A soft, absorbent garment worn by babies",diaper
I forgot to pack diapers for the trip.,I forgot to pack nappies for the trip.,British,"A soft, absorbent garment worn by babies",diaper
elevator,lift,British,A platform or compartment housed in a shaft for raising and lowering people or things,elevator
The elevator is broken.,The lift is broken.,British,A platform or compartment housed in a shaft for raising and lowering people or things,elevator
We took the elevator to the top floor.,We took the lift to the top floor.,British,A platform or compartment housed in a shaft for raising and lowering people or things,elevator
The elevator door won't open.,The lift door won't open.,British,A platform or compartment housed in a shaft for raising and lowering people or things,elevator
I prefer to take the elevator.,I prefer to take the lift.,British,A platform or compartment housed in a shaft for raising and lowering people or things,elevator
comforter,duvet,British,"A soft, thick bed covering filled with down, feathers, or synthetic fiber",comforter
The comforter on the bed was very warm.,The duvet on the bed was very warm.,British,"A soft, thick bed covering filled with down, feathers, or synthetic fiber",comforter
She bought a new comforter for winter.,She bought a new duvet for winter.,British,"A soft, thick bed covering filled with down, feathers, or synthetic fiber",comforter
The comforter is too hot for summer.,The duvet is too hot for summer.,British,"A soft, thick bed covering filled with down, feathers, or synthetic fiber",comforter
They replaced the comforter with a lighter blanket.,They replaced the duvet with a lighter blanket.,British,"A soft, thick bed covering filled with down, feathers, or synthetic fiber",comforter
bell peppers,capsicum,Australia,"A type of vegetable with a mild, sweet taste, commonly used in cooking",bell peppers
Bell peppers are used in many dishes.,Capsicum is used in many dishes.,Australia,"A type of vegetable with a mild, sweet taste, commonly used in cooking",bell peppers
She added bell peppers to the salad.,She added capsicum to the salad.,Australia,"A type of vegetable with a mild, sweet taste, commonly used in cooking",bell peppers
Grilled bell peppers make a tasty side dish.,Grilled capsicum makes a tasty side dish.,Australia,"A type of vegetable with a mild, sweet taste, commonly used in cooking",bell peppers
He doesn't like the taste of bell peppers.,He doesn't like the taste of capsicum.,Australia,"A type of vegetable with a mild, sweet taste, commonly used in cooking",bell peppers
rain boots,gum boots,Australia,Waterproof boots worn to keep feet dry in wet conditions,rain boots
She wore rain boots to walk through the mud.,She wore gum boots to walk through the mud.,Australia,Waterproof boots worn to keep feet dry in wet conditions,rain boots
Rain boots are essential for wet weather.,Gum boots are essential for wet weather.,Australia,Waterproof boots worn to keep feet dry in wet conditions,rain boots
The kids played outside in their rain boots.,The kids played outside in their gum boots.,Australia,Waterproof boots worn to keep feet dry in wet conditions,rain boots
He bought new rain boots for the rainy season.,He bought new gum boots for the rainy season.,Australia,Waterproof boots worn to keep feet dry in wet conditions,rain boots
rain boots,wellies,British,Waterproof boots worn to keep feet dry in wet conditions,rain boots
She wore rain boots to walk through the mud.,She wore wellies to walk through the mud.,British,Waterproof boots worn to keep feet dry in wet conditions,rain boots
Rain boots are essential for wet weather.,Wellies are essential for wet weather.,British,Waterproof boots worn to keep feet dry in wet conditions,rain boots
The kids played outside in their rain boots.,The kids played outside in their wellies.,British,Waterproof boots worn to keep feet dry in wet conditions,rain boots
He bought new rain boots for the rainy season.,He bought new wellies for the rainy season.,British,Waterproof boots worn to keep feet dry in wet conditions,rain boots
flip-flops,thongs,Australia,"A type of open-toed, flat sandal typically worn in warm weather",flip-flops
She wore flip-flops to the beach.,She wore thongs to the beach.,Australia,"A type of open-toed, flat sandal typically worn in warm weather",flip-flops
Flip-flops are comfortable for summer.,Thongs are comfortable for summer.,Australia,"A type of open-toed, flat sandal typically worn in warm weather",flip-flops
He forgot his flip-flops at the pool.,He forgot his thongs at the pool.,Australia,"A type of open-toed, flat sandal typically worn in warm weather",flip-flops
She packed her flip-flops for the trip.,She packed her thongs for the trip.,Australia,"A type of open-toed, flat sandal typically worn in warm weather",flip-flops
gas station,petrol station,British,A place where fuel for vehicles is sold,gas station
They stopped at a gas station for fuel.,They stopped at a petrol station for fuel.,British,A place where fuel for vehicles is sold,gas station
The gas station was open all night.,The petrol station was open all night.,British,A place where fuel for vehicles is sold,gas station
She asked for directions at the gas station.,She asked for directions at the petrol station.,British,A place where fuel for vehicles is sold,gas station
The gas station had a convenience store.,The petrol station had a convenience store.,British,A place where fuel for vehicles is sold,gas station
gas station,petrol station,Australia,A place where fuel for vehicles is sold,gas station
They stopped at a gas station for fuel.,They stopped at a petrol station for fuel.,Australia,A place where fuel for vehicles is sold,gas station
The gas station was open all night.,The petrol station was open all night.,Australia,A place where fuel for vehicles is sold,gas station
She asked for directions at the gas station.,She asked for directions at the petrol station.,Australia,A place where fuel for vehicles is sold,gas station
The gas station had a convenience store.,The petrol station had a convenience store.,Australia,A place where fuel for vehicles is sold,gas station
alcohol store,bottle shop,Australia,A store where alcoholic beverages are sold,alcohol store
He stopped by the alcohol store for wine.,He stopped by the bottle shop for wine.,Australia,A store where alcoholic beverages are sold,alcohol store
The alcohol store closes at 10 PM.,The bottle shop closes at 10 PM.,Australia,A store where alcoholic beverages are sold,alcohol store
She bought beer from the alcohol store.,She bought beer from the bottle shop.,Australia,A store where alcoholic beverages are sold,alcohol store
They went to the alcohol store to get drinks for the party.,They went to the bottle shop to get drinks for the party.,Australia,A store where alcoholic beverages are sold,alcohol store
trash can,rubbish bin,British,A container for waste,trash can
I need to take out the trash can.,I need to take out the rubbish bin.,British,A container for waste,trash can
He threw the garbage in the trash can.,He threw the garbage in the rubbish bin.,British,A container for waste,trash can
The trash can is full.,The rubbish bin is full.,British,A container for waste,trash can
I can't find the lid for the trash can.,I can't find the lid for the rubbish bin.,British,A container for waste,trash can
flashlight,torch,British,A portable light source,flashlight
I need a flashlight for the camping trip.,I need a torch for the camping trip.,British,A portable light source,flashlight
The flashlight died during the hike.,The torch died during the hike.,British,A portable light source,flashlight
Can you pass me the flashlight?,Can you pass me the torch?,British,A portable light source,flashlight
He turned on the flashlight to look for the keys.,He turned on the torch to look for the keys.,British,A portable light source,flashlight
pajamas,pyjamas,British,Clothing worn for sleeping,pajamas
She wore her pajamas to bed.,She wore her pyjamas to bed.,British,Clothing worn for sleeping,pajamas
I need to buy new pajamas.,I need to buy new pyjamas.,British,Clothing worn for sleeping,pajamas
These pajamas are so comfy.,These pyjamas are so comfy.,British,Clothing worn for sleeping,pajamas
He loves his soft pajamas.,He loves his soft pyjamas.,British,Clothing worn for sleeping,pajamas
sneakers,trainers,British,Casual shoes for sports or daily wear,sneakers
She bought a new pair of sneakers.,She bought a new pair of trainers.,British,Casual shoes for sports or daily wear,sneakers
I need to wear sneakers for jogging.,I need to wear trainers for jogging.,British,Casual shoes for sports or daily wear,sneakers
These sneakers are really comfortable.,These trainers are really comfortable.,British,Casual shoes for sports or daily wear,sneakers
He was wearing sneakers when he ran.,He was wearing trainers when he ran.,British,Casual shoes for sports or daily wear,sneakers
soccer,football,British,A team sport played with a ball,soccer
Soccer is very popular in the US.,Football is very popular in the British.,British,A team sport played with a ball,soccer
He played soccer for hours.,He played football for hours.,British,A team sport played with a ball,soccer
Do you like soccer?,Do you like football?,British,A team sport played with a ball,soccer
They are training for the soccer game.,They are training for the football game.,British,A team sport played with a ball,soccer
cell phone,mobile phone,British,A portable telephone,cell phone
I lost my cell phone.,I lost my mobile phone.,British,A portable telephone,cell phone
Can I borrow your cell phone?,Can I borrow your mobile phone?,British,A portable telephone,cell phone
My cell phone battery is dead.,My mobile phone battery is dead.,British,A portable telephone,cell phone
She uses her cell phone to call her family.,She uses her mobile phone to call her family.,British,A portable telephone,cell phone
couch,settee,British,A piece of furniture for sitting,couch
I love my new couch.,I love my new settee.,British,A piece of furniture for sitting,couch
She fell asleep on the couch.,She fell asleep on the settee.,British,A piece of furniture for sitting,couch
The couch is very comfortable.,The settee is very comfortable.,British,A piece of furniture for sitting,couch
They sat on the couch all evening.,They sat on the settee all evening.,British,A piece of furniture for sitting,couch
apartment,flat,British,A residential unit in a building,apartment
I live in an apartment.,I live in a flat.,British,A residential unit in a building,apartment
She rented a beautiful apartment.,She rented a beautiful flat.,British,A residential unit in a building,apartment
Their apartment is on the top floor.,Their flat is on the top floor.,British,A residential unit in a building,apartment
We are moving to a new apartment.,We are moving to a new flat.,British,A residential unit in a building,apartment
eraser,rubber,British,A tool for removing pencil marks,eraser
I need an eraser to fix this mistake.,I need a rubber to fix this mistake.,British,A tool for removing pencil marks,eraser
She bought a new eraser for her drawing.,She bought a new rubber for her drawing.,British,A tool for removing pencil marks,eraser
This eraser works really well on paper.,This rubber works really well on paper.,British,A tool for removing pencil marks,eraser
He lost his eraser during the exam.,He lost his rubber during the exam.,British,A tool for removing pencil marks,eraser
mail,post,British,Letters or packages sent to a recipient,mail
I sent the letter by mail yesterday.,I sent the letter by post yesterday.,British,Letters or packages sent to a recipient,mail
She received a mail today.,She received a post today.,British,Letters or packages sent to a recipient,mail
The mailman delivered the package.,The postman delivered the package.,British,Letters or packages sent to a recipient,mail
They sent an important mail last week.,They sent an important post last week.,British,Letters or packages sent to a recipient,mail
sneakers,trainers,British,"Casual shoes, typically worn for sports",sneakers
I love wearing sneakers for my runs.,I love wearing trainers for my runs.,British,"Casual shoes, typically worn for sports",sneakers
Her sneakers are very comfortable.,Her trainers are very comfortable.,British,"Casual shoes, typically worn for sports",sneakers
I need new sneakers for the gym.,I need new trainers for the gym.,British,"Casual shoes, typically worn for sports",sneakers
He bought new sneakers for his trip.,He bought new trainers for his trip.,British,"Casual shoes, typically worn for sports",sneakers
sweatpants,tracksuit bottoms,British,Loose-fitting pants worn for exercise or leisure,sweatpants
I prefer wearing sweatpants at home.,I prefer wearing tracksuit bottoms at home.,British,Loose-fitting pants worn for exercise or leisure,sweatpants
She was wearing sweatpants and a hoodie.,She was wearing tracksuit bottoms and a hoodie.,British,Loose-fitting pants worn for exercise or leisure,sweatpants
These sweatpants are really comfortable.,These tracksuit bottoms are really comfortable.,British,Loose-fitting pants worn for exercise or leisure,sweatpants
I wear sweatpants when I go jogging.,I wear tracksuit bottoms when I go jogging.,British,Loose-fitting pants worn for exercise or leisure,sweatpants
gasoline,petrol,British,Fuel for internal combustion engines,gasoline
My car runs on gasoline.,My car runs on petrol.,British,Fuel for internal combustion engines,gasoline
Gasoline prices have increased this year.,Petrol prices have increased this year.,British,Fuel for internal combustion engines,gasoline
He filled the tank with gasoline.,He filled the tank with petrol.,British,Fuel for internal combustion engines,gasoline
The gasoline station is just around the corner.,The petrol station is just around the corner.,British,Fuel for internal combustion engines,gasoline
trash,rubbish,British,Waste or unwanted materials,trash
Please take out the trash.,Please take out the rubbish.,British,Waste or unwanted materials,trash
The trash can is full.,The rubbish bin is full.,British,Waste or unwanted materials,trash
She threw the trash away.,She threw the rubbish away.,British,Waste or unwanted materials,trash
The trash truck will arrive soon.,The rubbish truck will arrive soon.,British,Waste or unwanted materials,trash
check,cheque,British,A written order directing a bank to pay a specific sum from a person's account,check
I wrote a check for the payment.,I wrote a cheque for the payment.,British,A written order directing a bank to pay a specific sum from a person's account,check
He cashed the check at the bank.,He cashed the cheque at the bank.,British,A written order directing a bank to pay a specific sum from a person's account,check
The check bounced because there was no money in the account.,The cheque bounced because there was no money in the account.,British,A written order directing a bank to pay a specific sum from a person's account,check
I need to deposit this check.,I need to deposit this cheque.,British,A written order directing a bank to pay a specific sum from a person's account,check
subway,underground,British,An underground railway system,subway
I take the subway to work every day.,I take the underground to work every day.,British,An underground railway system,subway
The subway station is crowded during rush hour.,The underground station is crowded during rush hour.,British,An underground railway system,subway
We need to catch the subway to get there.,We need to catch the underground to get there.,British,An underground railway system,subway
I love taking the subway in the city.,I love taking the underground in the city.,British,An underground railway system,subway
elevator,lift,British,A platform or compartment housed in a shaft for raising and lowering people or things to different floors or levels,elevator
Take the elevator to the fifth floor.,Take the lift to the fifth floor.,British,A platform or compartment housed in a shaft for raising and lowering people or things to different floors or levels,elevator
The building has an old-fashioned elevator.,The building has an old-fashioned lift.,British,A platform or compartment housed in a shaft for raising and lowering people or things to different floors or levels,elevator
She waited for the elevator to arrive.,She waited for the lift to arrive.,British,A platform or compartment housed in a shaft for raising and lowering people or things to different floors or levels,elevator
The elevator doors opened slowly.,The lift doors opened slowly.,British,A platform or compartment housed in a shaft for raising and lowering people or things to different floors or levels,elevator
trash can,bin,British,A container for holding waste or garbage,trash can
He threw the paper into the trash can.,He threw the paper into the bin.,British,A container for holding waste or garbage,trash can
Please put your trash in the trash can.,Please put your trash in the bin.,British,A container for holding waste or garbage,trash can
The trash can is overflowing.,The bin is overflowing.,British,A container for holding waste or garbage,trash can
The trash can is located near the exit.,The bin is located near the exit.,British,A container for holding waste or garbage,trash can
sweater,jumper,British,A knitted garment worn on the upper body,sweater
She wore a warm sweater.,She wore a warm jumper.,British,A knitted garment worn on the upper body,sweater
I bought a new sweater for winter.,I bought a new jumper for winter.,British,A knitted garment worn on the upper body,sweater
The sweater is very soft.,The jumper is very soft.,British,A knitted garment worn on the upper body,sweater
He folded his sweater neatly.,He folded his jumper neatly.,British,A knitted garment worn on the upper body,sweater
vacation,holiday,British,"An extended period of leisure and recreation, often spent away from home",vacation
Weâre going on vacation next week.,Weâre going on holiday next week.,British,"An extended period of leisure and recreation, often spent away from home",vacation
The family is enjoying their vacation.,The family is enjoying their holiday.,British,"An extended period of leisure and recreation, often spent away from home",vacation
She planned her vacation well in advance.,She planned her holiday well in advance.,British,"An extended period of leisure and recreation, often spent away from home",vacation
He spent his vacation relaxing by the beach.,He spent his holiday relaxing by the beach.,British,"An extended period of leisure and recreation, often spent away from home",vacation
flashlight,torch,British,A small portable light operated by batteries,flashlight
He used a flashlight to find his keys.,He used a torch to find his keys.,British,A small portable light operated by batteries,flashlight
The flashlight battery is dead.,The torch battery is dead.,British,A small portable light operated by batteries,flashlight
Bring a flashlight in case it gets dark.,Bring a torch in case it gets dark.,British,A small portable light operated by batteries,flashlight
She packed a flashlight for the camping trip.,She packed a torch for the camping trip.,British,A small portable light operated by batteries,flashlight
cookie,biscuit,British,"A small sweet baked treat, often round and flat",cookie
She loves to eat a cookie with her tea.,She loves to eat a biscuit with her tea.,British,"A small sweet baked treat, often round and flat",cookie
He baked a batch of chocolate chip cookies.,He baked a batch of chocolate chip biscuits.,British,"A small sweet baked treat, often round and flat",cookie
The cookie was crunchy and sweet.,The biscuit was crunchy and sweet.,British,"A small sweet baked treat, often round and flat",cookie
Would you like a cookie?,Would you like a biscuit?,British,"A small sweet baked treat, often round and flat",cookie
truck,lorry,British,"A large, heavy motor vehicle for transporting goods or materials",truck
The truck was loaded with cargo.,The lorry was loaded with cargo.,British,"A large, heavy motor vehicle for transporting goods or materials",truck
He drives a big truck.,He drives a big lorry.,British,"A large, heavy motor vehicle for transporting goods or materials",truck
The truck made a loud noise.,The lorry made a loud noise.,British,"A large, heavy motor vehicle for transporting goods or materials",truck
The truck is parked by the warehouse.,The lorry is parked by the warehouse.,British,"A large, heavy motor vehicle for transporting goods or materials",truck
faucet,tap,British,A device by which a flow of liquid or gas from a pipe can be controlled,faucet
Turn off the faucet to save water.,Turn off the tap to save water.,British,A device by which a flow of liquid or gas from a pipe can be controlled,faucet
The faucet is leaking.,The tap is leaking.,British,A device by which a flow of liquid or gas from a pipe can be controlled,faucet
